ID	COUNTRY	MODEL	PRODUCT_PAGE	MAIN_CHANNEL
1	TR	3060	https://www.amazon.com.tr/s?k=3060&i=computers&bbn=12601951031&rh=n%3A12466439031%2Cn%3A12601896031%2Cn%3A17486328031%2Cn%3A12601951031%2Cp_6%3AA1UNQM1SR2CHM%7CA3O5TP4R0OZYXZ&dc&__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838093&rnid=15358539031&ref=sr_nr_p_6_3	-1001510906023
2	TR	3070	https://www.amazon.com.tr/s?k=3070&i=computers&bbn=12601951031&rh=n%3A12601951031%2Cp_6%3AA1UNQM1SR2CHM%7CA3O5TP4R0OZYXZ&dc&__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838115&rnid=15358539031&ref=sr_nr_p_6_4	-1001510906023
3	TR	3080	https://www.amazon.com.tr/s?k=3080&i=computers&bbn=12601951031&rh=n%3A12601951031%2Cp_6%3AA1UNQM1SR2CHM%7CA3O5TP4R0OZYXZ&dc&__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838131&rnid=15358539031&ref=sr_nr_p_6_4	-1001510906023
4	TR	3090	https://www.amazon.com.tr/s?k=3090&i=computers&bbn=12601951031&rh=n%3A12601951031%2Cp_6%3AA1UNQM1SR2CHM%7CA3O5TP4R0OZYXZ&dc&__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838149&rnid=15358539031&ref=sr_nr_p_6_1	-1001510906023
5	UK	3060	https://www.amazon.co.uk/s?k=3060&i=computers&bbn=430500031&rh=n%3A428655031%2Cn%3A430500031&dc&qid=1614630046&rnid=419160031&ref=sr_nr_p_n_availability_2/?1	-1001510906023
6	UK	3070	https://www.amazon.co.uk/s?k=3070&i=computers&bbn=430500031&rh=n%3A430500031%2Cp_6%3AA3P5ROKL5A1OLE&dc&qid=1627838204&rnid=419151031&ref=sr_nr_p_6_3	-1001510906023
7	UK	3080	https://www.amazon.co.uk/s?k=3080&i=computers&bbn=430500031&rh=n%3A430500031%2Cp_6%3AA3P5ROKL5A1OLE&dc&qid=1627838277&rnid=419151031&ref=sr_nr_p_6_2	-1001510906023
8	UK	3090	https://www.amazon.co.uk/s?k=3090&i=computers&bbn=430500031&rh=n%3A430500031&dc&qid=1614629972&rnid=419160031&ref=sr_nr_p_n_availability_2/?1	-1001510906023
9	FR	3060	https://www.amazon.fr/s?k=3060&i=computers&bbn=430340031&rh=n%3A430340031%2Cp_6%3AA1X6FK5RDHNB96&dc&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838305&rnid=437864031&ref=sr_nr_p_6_2	-1001510906023
10	FR	3070	https://www.amazon.fr/s?k=3070&i=computers&bbn=430340031&rh=n%3A430340031%2Cp_6%3AA1X6FK5RDHNB96&dc&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838317&rnid=437864031&ref=sr_nr_p_6_1	-1001510906023
11	FR	3080	https://www.amazon.fr/s?k=3080&i=computers&bbn=430340031&rh=n%3A430340031%2Cp_6%3AA1X6FK5RDHNB96&dc&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838329&rnid=437864031&ref=sr_nr_p_6_1	-1001510906023
12	FR	3090	https://www.amazon.fr/s?k=3090&i=computers&bbn=430340031&rh=n%3A430340031%2Cp_6%3AA1X6FK5RDHNB96&dc&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838339&rnid=437864031&ref=sr_nr_p_6_1	-1001510906023
13	DE	3060	https://www.amazon.de/-/tr/s?k=3060&i=computers&bbn=430161031&rh=n%3A430161031%2Cp_6%3AA3JWKAKR8XB7XF&dc&language=tr&__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838350&rnid=419115031&ref=sr_nr_p_6_1	-1001510906023
14	DE	3070	https://www.amazon.de/-/tr/s?k=3070&i=computers&bbn=430161031&rh=n%3A430161031%2Cp_6%3AA3JWKAKR8XB7XF&dc&language=tr&__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838361&rnid=419115031&ref=sr_nr_p_6_5	-1001510906023
15	DE	3080	https://www.amazon.de/-/tr/s?k=3080&i=computers&bbn=430161031&rh=n%3A430161031%2Cp_6%3AA3JWKAKR8XB7XF&dc&language=tr&__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838371&rnid=419115031&ref=sr_nr_p_6_3	-1001510906023
16	DE	3090	https://www.amazon.de/-/tr/s?k=3090&i=computers&bbn=430161031&rh=n%3A430161031%2Cp_6%3AA3JWKAKR8XB7XF&dc&language=tr&__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838416&rnid=419115031&ref=sr_nr_p_6_2	-1001510906023
17	IT	3060	https://www.amazon.it/s?k=3060&i=computers&bbn=460090031&rh=n%3A17492754031%2Cn%3A460090031%2Cp_6%3AA11IL2PNWYJU7H&dc&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838426&rnid=490203031&ref=sr_nr_p_6_2	-1001510906023
18	IT	3070	https://www.amazon.it/s?k=3070&i=computers&bbn=460090031&rh=n%3A460090031%2Cp_6%3AA11IL2PNWYJU7H&dc&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838436&rnid=490203031&ref=sr_nr_p_6_1	-1001510906023
19	IT	3080	https://www.amazon.it/s?k=3080&i=computers&bbn=460090031&rh=n%3A460090031%2Cp_6%3AA11IL2PNWYJU7H&dc&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1627838481&rnid=490203031&ref=sr_nr_p_6_2	-1001510906023
